symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,False,55.0,275.8,403600903,1200000037343592,2025-06-12T11:45:37
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,False,1.0,1775.9,606599754,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,False,1.0,1775.9,606599752,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,False,1.0,1775.9,606599753,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,False,4.0,1776.0,606599755,1300000052877144,2025-06-12T13:07:00
BBL,INE464A01036,2025-06-12,NSE,EQ,EQ,buy,False,3.0,2967.1,5467551,1000000051466576,2025-06-12T14:09:31
TATATECH,INE142M01025,2025-06-12,NSE,EQ,EQ,sell,False,3.0,765.35,609466871,1300000076741910,2025-06-12T14:58:56
COALINDIA,INE522F01014,2025-06-13,BSE,EQ,A,buy,False,25.0,388.15,238600,1749785400114041168,2025-06-13T09:15:09
NCC,INE868B01028,2025-06-13,NSE,EQ,EQ,buy,False,42.0,226.23,400083583,1200000000378827,2025-06-13T09:15:11
INDUSTOWER,INE121J01017,2025-06-13,NSE,EQ,EQ,buy,False,26.0,376.65,200124924,1100000000515722,2025-06-13T09:15:11
ITC,INE154A01025,2025-06-13,NSE,EQ,EQ,buy,False,23.0,415.0,208367812,1100000073728910,2025-06-13T14:06:20
VBL,INE200M01039,2025-06-16,NSE,EQ,EQ,buy,False,20.0,460.0,603610508,1300000031102552,2025-06-16T10:42:28
BBL,INE464A01036,2025-06-17,NSE,EQ,EQ,buy,False,3.0,2950.0,41298,1000000000274945,2025-06-17T09:15:03
POLYPLEX,INE633B01018,2025-06-17,NSE,EQ,EQ,buy,False,7.0,1250.0,404255606,1200000043683493,2025-06-17T12:45:21
NCC,INE868B01028,2025-06-18,NSE,EQ,EQ,buy,False,43.0,223.45,403562340,1200000002684421,2025-06-18T09:20:15
INFY,INE009A01021,2025-06-18,NSE,EQ,EQ,buy,False,8.0,1632.4,203751436,1100000036496897,2025-06-18T11:21:03
RPGLIFE,INE105J01010,2025-06-18,NSE,EQ,EQ,sell,False,4.0,2300.0,603774480,1300000034872026,2025-06-18T11:32:24
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,False,1.0,193.58,403156552,1200000039062028,2025-06-18T11:58:44
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,False,7.0,193.56,403156550,1200000039062028,2025-06-18T11:58:44
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,False,52.0,193.57,403156551,1200000039062028,2025-06-18T11:58:44
BAJAJHFL,INE377Y01014,2025-06-18,NSE,EQ,EQ,buy,False,20.0,120.53,2832759,1000000032845106,2025-06-18T12:00:27
TORNTPOWER,INE813H01021,2025-06-18,NSE,EQ,EQ,buy,False,7.0,1385.0,606269402,1300000049951631,2025-06-18T13:00:32
FINPIPE,INE183A01024,2025-06-19,NSE,EQ,EQ,sell,False,46.0,230.4,200205529,1100000001625097,2025-06-19T09:17:01
