symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BEL,INE263A01024,2024-08-13,NSE,EQ,EQ,SELL,FALSE,10,300.8,4876569,NA,NA
BEL,INE263A01024,2024-08-13,NSE,EQ,EQ,SELL,FALSE,10,300.8,4876570,NA,NA
BEL,INE263A01024,2024-08-13,NSE,EQ,EQ,SELL,FALSE,4,300.8,4876571,NA,NA
TATAINVEST,INE672A01018,2024-08-13,NSE,EQ,EQ,BUY,FALSE,1,6000.0,608088545,NA,NA
NH,INE410P01011,2024-08-12,NSE,EQ,EQ,BUY,FALSE,4,1207.55,408388108,NA,NA
NATIONALUM,INE139A01034,2024-08-12,NSE,EQ,EQ,BUY,FALSE,10,174.84,408402483,NA,NA
NATIONALUM,INE139A01034,2024-08-08,NSE,EQ,EQ,BUY,FALSE,10,175.2,404048916,NA,NA
HAPPSTMNDS,INE419U01012,2024-08-08,NSE,EQ,EQ,BUY,FALSE,1,779.9,204241337,NA,NA
HAPPSTMNDS,INE419U01012,2024-08-08,NSE,EQ,EQ,BUY,FALSE,1,779.9,204241338,NA,NA
HAPPSTMNDS,INE419U01012,2024-08-08,NSE,EQ,EQ,BUY,FALSE,3,779.9,204241339,NA,NA
NH,INE410P01011,2024-08-08,NSE,EQ,EQ,BUY,FALSE,8,1224.7,407470347,NA,NA
POONAWALLA,INE511C01022,2024-08-07,NSE,EQ,EQ,BUY,FALSE,5,344.5,403024346,NA,NA
POONAWALLA,INE511C01022,2024-08-06,NSE,EQ,EQ,BUY,FALSE,10,342.2,411552702,NA,NA
NATIONALUM,INE139A01034,2024-08-06,NSE,EQ,EQ,BUY,FALSE,10,172.42,411573237,NA,NA
POONAWALLA,INE511C01022,2024-08-05,NSE,EQ,EQ,BUY,FALSE,10,355.0,404047243,NA,NA
NATIONALUM,INE139A01034,2024-08-05,NSE,EQ,EQ,BUY,FALSE,2,178.49,404006074,NA,NA
NATIONALUM,INE139A01034,2024-08-05,NSE,EQ,EQ,BUY,FALSE,8,178.49,404006075,NA,NA
HCLTECH,INE860A01027,2024-08-05,NSE,EQ,EQ,SELL,FALSE,2,1559.4,207051323,NA,NA
